"Comment[mztab:metadata:assay:id]"	"Comment[mztab:metadata:sample:id]"	"Comment[mztab:metadata:ms_run:id]"	"Comment[mztab:metadata:ms_run:name]"	"Comment[mztab:metadata:ms_run:instrument:id]"	"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Detector]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Parameter Value[Data file checksum]"	"Parameter Value[Data file checksum type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Native spectrum identifier format]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Raw data file format]"	"Term Source REF"	"Term Accession Number"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"136"	"136"	"136"	""	""	"M11080307"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"136"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11080307.mzml"	"Metabolite identification"	""	""
"137"	"137"	"137"	""	""	"M11071308"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"137"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11071308.mzml"	"Metabolite identification"	""	""
"138"	"138"	"138"	""	""	"M11052803"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"138"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11052803.mzml"	"Metabolite identification"	""	""
"139"	"139"	"139"	""	""	"M11050408"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"139"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050408.mzml"	"Metabolite identification"	""	""
"140"	"140"	"140"	""	""	"M11051109"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"140"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051109.mzml"	"Metabolite identification"	""	""
"141"	"141"	"141"	""	""	"M11070610"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"141"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11070610.mzml"	"Metabolite identification"	""	""
"142"	"142"	"142"	""	""	"M11071305"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"142"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11071305.mzml"	"Metabolite identification"	""	""
"143"	"143"	"143"	""	""	"M11062913"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"143"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062913.mzml"	"Metabolite identification"	""	""
"144"	"144"	"144"	""	""	"M11073012"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"144"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11073012.mzml"	"Metabolite identification"	""	""
"145"	"145"	"145"	""	""	"M11050416"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"145"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050416.mzml"	"Metabolite identification"	""	""
"146"	"146"	"146"	""	""	"M11062507"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"146"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062507.mzml"	"Metabolite identification"	""	""
"147"	"147"	"147"	""	""	"M11051110"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"147"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051110.mzml"	"Metabolite identification"	""	""
"148"	"148"	"148"	""	""	"M11080303"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"148"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11080303.mzml"	"Metabolite identification"	""	""
"149"	"149"	"149"	""	""	"M11062214"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"149"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062214.mzml"	"Metabolite identification"	""	""
"150"	"150"	"150"	""	""	"M11081312"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"150"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11081312.mzml"	"Metabolite identification"	""	""
"151"	"151"	"151"	""	""	"M11051201"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"151"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051201.mzml"	"Metabolite identification"	""	""
"152"	"152"	"152"	""	""	"M11062215"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"152"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062215.mzml"	"Metabolite identification"	""	""
"153"	"153"	"153"	""	""	"M11081709"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"153"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11081709.mzml"	"Metabolite identification"	""	""
"154"	"154"	"154"	""	""	"M11082009"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"154"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11082009.mzml"	"Metabolite identification"	""	""
"155"	"155"	"155"	""	""	"M11052807"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"155"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11052807.mzml"	"Metabolite identification"	""	""
"156"	"156"	"156"	""	""	"M11052509"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"156"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11052509.mzml"	"Metabolite identification"	""	""
"157"	"157"	"157"	""	""	"M11070605"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"157"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11070605.mzml"	"Metabolite identification"	""	""
"158"	"158"	"158"	""	""	"M11050514"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"158"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050514.mzml"	"Metabolite identification"	""	""
"159"	"159"	"159"	""	""	"M11062501"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"159"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062501.mzml"	"Metabolite identification"	""	""
"160"	"160"	"160"	""	""	"M11072702"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"160"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11072702.mzml"	"Metabolite identification"	""	""
"161"	"161"	"161"	""	""	"M11082019"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"161"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11082019.mzml"	"Metabolite identification"	""	""
"162"	"162"	"162"	""	""	"M11072322"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"162"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11072322.mzml"	"Metabolite identification"	""	""
"163"	"163"	"163"	""	""	"M11051807"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"163"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051807.mzml"	"Metabolite identification"	""	""
"164"	"164"	"164"	""	""	"M11062517"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"164"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062517.mzml"	"Metabolite identification"	""	""
"165"	"165"	"165"	""	""	"M11051114"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"165"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051114.mzml"	"Metabolite identification"	""	""
"166"	"166"	"166"	""	""	"M11072317"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"166"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11072317.mzml"	"Metabolite identification"	""	""
"167"	"167"	"167"	""	""	"M11051909"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"167"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051909.mzml"	"Metabolite identification"	""	""
"168"	"168"	"168"	""	""	"M11060201"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"168"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11060201.mzml"	"Metabolite identification"	""	""
"169"	"169"	"169"	""	""	"M11050506"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"169"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050506.mzml"	"Metabolite identification"	""	""
"170"	"170"	"170"	""	""	"M11073004"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"170"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11073004.mzml"	"Metabolite identification"	""	""
"171"	"171"	"171"	""	""	"M11072311"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"171"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11072311.mzml"	"Metabolite identification"	""	""
"172"	"172"	"172"	""	""	"M11061505"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"172"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11061505.mzml"	"Metabolite identification"	""	""
"173"	"173"	"173"	""	""	"M11071302"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"173"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11071302.mzml"	"Metabolite identification"	""	""
"174"	"174"	"174"	""	""	"M11050503"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"174"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050503.mzml"	"Metabolite identification"	""	""
"175"	"175"	"175"	""	""	"M11061509"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"175"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11061509.mzml"	"Metabolite identification"	""	""
"176"	"176"	"176"	""	""	"M11072706"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"176"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11072706.mzml"	"Metabolite identification"	""	""
"177"	"177"	"177"	""	""	"M11052504"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"177"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11052504.mzml"	"Metabolite identification"	""	""
"178"	"178"	"178"	""	""	"M11062212"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"178"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062212.mzml"	"Metabolite identification"	""	""
"179"	"179"	"179"	""	""	"M11060912"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"179"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11060912.mzml"	"Metabolite identification"	""	""
"180"	"180"	"180"	""	""	"M11072707"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"180"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11072707.mzml"	"Metabolite identification"	""	""
"181"	"181"	"181"	""	""	"M11081705"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"181"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11081705.mzml"	"Metabolite identification"	""	""
"182"	"182"	"182"	""	""	"M11081713"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"182"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11081713.mzml"	"Metabolite identification"	""	""
"183"	"183"	"183"	""	""	"M11072310"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"183"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11072310.mzml"	"Metabolite identification"	""	""
"184"	"184"	"184"	""	""	"M11052507"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"184"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11052507.mzml"	"Metabolite identification"	""	""
"185"	"185"	"185"	""	""	"M11050404"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"185"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050404.mzml"	"Metabolite identification"	""	""
"186"	"186"	"186"	""	""	"M11060902"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"186"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11060902.mzml"	"Metabolite identification"	""	""
"187"	"187"	"187"	""	""	"M11081316"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"187"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11081316.mzml"	"Metabolite identification"	""	""
"188"	"188"	"188"	""	""	"M11080302"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"188"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11080302.mzml"	"Metabolite identification"	""	""
"189"	"189"	"189"	""	""	"M11072303"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"189"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11072303.mzml"	"Metabolite identification"	""	""
"190"	"190"	"190"	""	""	"M11051901"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"190"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051901.mzml"	"Metabolite identification"	""	""
"191"	"191"	"191"	""	""	"M11082409"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"191"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11082409.mzml"	"Metabolite identification"	""	""
"192"	"192"	"192"	""	""	"M11060102"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"192"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11060102.mzml"	"Metabolite identification"	""	""
"193"	"193"	"193"	""	""	"M11061604"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"193"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11061604.mzml"	"Metabolite identification"	""	""
"194"	"194"	"194"	""	""	"M11082003"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"194"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11082003.mzml"	"Metabolite identification"	""	""
"195"	"195"	"195"	""	""	"M11062524"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"195"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062524.mzml"	"Metabolite identification"	""	""
"196"	"196"	"196"	""	""	"M11050409"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"196"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050409.mzml"	"Metabolite identification"	""	""
"197"	"197"	"197"	""	""	"M11081304"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"197"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11081304.mzml"	"Metabolite identification"	""	""
"198"	"198"	"198"	""	""	"M11070608"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"198"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11070608.mzml"	"Metabolite identification"	""	""
"199"	"199"	"199"	""	""	"M11051209"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"199"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051209.mzml"	"Metabolite identification"	""	""
"200"	"200"	"200"	""	""	"M11072319"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"200"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11072319.mzml"	"Metabolite identification"	""	""
"201"	"201"	"201"	""	""	"M11072309"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"201"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11072309.mzml"	"Metabolite identification"	""	""
"202"	"202"	"202"	""	""	"M11060920"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"202"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11060920.mzml"	"Metabolite identification"	""	""
"203"	"203"	"203"	""	""	"M11080305"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"203"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11080305.mzml"	"Metabolite identification"	""	""
"204"	"204"	"204"	""	""	"M11062905"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	"id=None cv_label='' cv_accession='' name='' value=''"	""	""	""	""	""	"204"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062905.mzml"	"Metabolite identification"	""	""
