"Comment[mztab:metadata:assay:id]"	"Comment[mztab:metadata:sample:id]"	"Comment[mztab:metadata:ms_run:id]"	"Comment[mztab:metadata:ms_run:name]"	"Comment[mztab:metadata:ms_run:instrument:id]"	"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"98"	"98"	"98"	""	"1"	"M11072308"	"Extraction"	""	""	"Assay for M11072308"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"98"	""	"Data transformation"	""	"FILES/m11072308.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"99"	"99"	"99"	""	"1"	"M11052816"	"Extraction"	""	""	"Assay for M11052816"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"99"	""	"Data transformation"	""	"FILES/m11052816.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"100"	"100"	"100"	""	"1"	"M11061511"	"Extraction"	""	""	"Assay for M11061511"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"100"	""	"Data transformation"	""	"FILES/m11061511.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"101"	"101"	"101"	""	"1"	"M11060103"	"Extraction"	""	""	"Assay for M11060103"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"101"	""	"Data transformation"	""	"FILES/m11060103.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"102"	"102"	"102"	""	"1"	"M11060203"	"Extraction"	""	""	"Assay for M11060203"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"102"	""	"Data transformation"	""	"FILES/m11060203.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"103"	"103"	"103"	""	"1"	"M11073015"	"Extraction"	""	""	"Assay for M11073015"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"103"	""	"Data transformation"	""	"FILES/m11073015.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"104"	"104"	"104"	""	"1"	"M11052508"	"Extraction"	""	""	"Assay for M11052508"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"104"	""	"Data transformation"	""	"FILES/m11052508.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"105"	"105"	"105"	""	"1"	"M11062203"	"Extraction"	""	""	"Assay for M11062203"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"105"	""	"Data transformation"	""	"FILES/m11062203.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"106"	"106"	"106"	""	"1"	"M11070607"	"Extraction"	""	""	"Assay for M11070607"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"106"	""	"Data transformation"	""	"FILES/m11070607.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"107"	"107"	"107"	""	"1"	"M11051207"	"Extraction"	""	""	"Assay for M11051207"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"107"	""	"Data transformation"	""	"FILES/m11051207.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"108"	"108"	"108"	""	"1"	"M11061507"	"Extraction"	""	""	"Assay for M11061507"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"108"	""	"Data transformation"	""	"FILES/m11061507.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"109"	"109"	"109"	""	"1"	"M11082008"	"Extraction"	""	""	"Assay for M11082008"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"109"	""	"Data transformation"	""	"FILES/m11082008.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"110"	"110"	"110"	""	"1"	"M11061607"	"Extraction"	""	""	"Assay for M11061607"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"110"	""	"Data transformation"	""	"FILES/m11061607.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"111"	"111"	"111"	""	"1"	"M11050403"	"Extraction"	""	""	"Assay for M11050403"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"111"	""	"Data transformation"	""	"FILES/m11050403.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"112"	"112"	"112"	""	"1"	"M11051105"	"Extraction"	""	""	"Assay for M11051105"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"112"	""	"Data transformation"	""	"FILES/m11051105.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"113"	"113"	"113"	""	"1"	"M11072320"	"Extraction"	""	""	"Assay for M11072320"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"113"	""	"Data transformation"	""	"FILES/m11072320.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"114"	"114"	"114"	""	"1"	"M11062502"	"Extraction"	""	""	"Assay for M11062502"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"114"	""	"Data transformation"	""	"FILES/m11062502.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"115"	"115"	"115"	""	"1"	"M11071309"	"Extraction"	""	""	"Assay for M11071309"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"115"	""	"Data transformation"	""	"FILES/m11071309.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"116"	"116"	"116"	""	"1"	"M11052812"	"Extraction"	""	""	"Assay for M11052812"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"116"	""	"Data transformation"	""	"FILES/m11052812.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"117"	"117"	"117"	""	"1"	"M11081315"	"Extraction"	""	""	"Assay for M11081315"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"117"	""	"Data transformation"	""	"FILES/m11081315.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"118"	"118"	"118"	""	"1"	"M11050414"	"Extraction"	""	""	"Assay for M11050414"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"118"	""	"Data transformation"	""	"FILES/m11050414.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"119"	"119"	"119"	""	"1"	"M11082011"	"Extraction"	""	""	"Assay for M11082011"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"119"	""	"Data transformation"	""	"FILES/m11082011.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"120"	"120"	"120"	""	"1"	"M11072323"	"Extraction"	""	""	"Assay for M11072323"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"120"	""	"Data transformation"	""	"FILES/m11072323.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"121"	"121"	"121"	""	"1"	"M11060905"	"Extraction"	""	""	"Assay for M11060905"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"121"	""	"Data transformation"	""	"FILES/m11060905.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"122"	"122"	"122"	""	"1"	"M11051101"	"Extraction"	""	""	"Assay for M11051101"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"122"	""	"Data transformation"	""	"FILES/m11051101.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"123"	"123"	"123"	""	"1"	"M11060111"	"Extraction"	""	""	"Assay for M11060111"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"123"	""	"Data transformation"	""	"FILES/m11060111.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"124"	"124"	"124"	""	"1"	"M11080304"	"Extraction"	""	""	"Assay for M11080304"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"124"	""	"Data transformation"	""	"FILES/m11080304.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"125"	"125"	"125"	""	"1"	"M11060207"	"Extraction"	""	""	"Assay for M11060207"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"125"	""	"Data transformation"	""	"FILES/m11060207.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"126"	"126"	"126"	""	"1"	"M11081703"	"Extraction"	""	""	"Assay for M11081703"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"126"	""	"Data transformation"	""	"FILES/m11081703.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"127"	"127"	"127"	""	"1"	"M11050501"	"Extraction"	""	""	"Assay for M11050501"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"127"	""	"Data transformation"	""	"FILES/m11050501.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"128"	"128"	"128"	""	"1"	"M11071310"	"Extraction"	""	""	"Assay for M11071310"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"128"	""	"Data transformation"	""	"FILES/m11071310.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"129"	"129"	"129"	""	"1"	"M11050507"	"Extraction"	""	""	"Assay for M11050507"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"129"	""	"Data transformation"	""	"FILES/m11050507.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"130"	"130"	"130"	""	"1"	"M11062211"	"Extraction"	""	""	"Assay for M11062211"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"130"	""	"Data transformation"	""	"FILES/m11062211.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"131"	"131"	"131"	""	"1"	"M11061609"	"Extraction"	""	""	"Assay for M11061609"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"131"	""	"Data transformation"	""	"FILES/m11061609.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"132"	"132"	"132"	""	"1"	"M11073003"	"Extraction"	""	""	"Assay for M11073003"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"132"	""	"Data transformation"	""	"FILES/m11073003.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"133"	"133"	"133"	""	"1"	"M11062909"	"Extraction"	""	""	"Assay for M11062909"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"133"	""	"Data transformation"	""	"FILES/m11062909.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"134"	"134"	"134"	""	"1"	"M11051108"	"Extraction"	""	""	"Assay for M11051108"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"134"	""	"Data transformation"	""	"FILES/m11051108.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"135"	"135"	"135"	""	"1"	"M11073006"	"Extraction"	""	""	"Assay for M11073006"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"135"	""	"Data transformation"	""	"FILES/m11073006.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"136"	"136"	"136"	""	"1"	"M11080307"	"Extraction"	""	""	"Assay for M11080307"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"136"	""	"Data transformation"	""	"FILES/m11080307.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"137"	"137"	"137"	""	"1"	"M11071308"	"Extraction"	""	""	"Assay for M11071308"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"137"	""	"Data transformation"	""	"FILES/m11071308.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"138"	"138"	"138"	""	"1"	"M11052803"	"Extraction"	""	""	"Assay for M11052803"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"138"	""	"Data transformation"	""	"FILES/m11052803.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"139"	"139"	"139"	""	"1"	"M11050408"	"Extraction"	""	""	"Assay for M11050408"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"139"	""	"Data transformation"	""	"FILES/m11050408.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"140"	"140"	"140"	""	"1"	"M11051109"	"Extraction"	""	""	"Assay for M11051109"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"140"	""	"Data transformation"	""	"FILES/m11051109.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"141"	"141"	"141"	""	"1"	"M11070610"	"Extraction"	""	""	"Assay for M11070610"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"141"	""	"Data transformation"	""	"FILES/m11070610.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"142"	"142"	"142"	""	"1"	"M11071305"	"Extraction"	""	""	"Assay for M11071305"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"142"	""	"Data transformation"	""	"FILES/m11071305.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"143"	"143"	"143"	""	"1"	"M11062913"	"Extraction"	""	""	"Assay for M11062913"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"143"	""	"Data transformation"	""	"FILES/m11062913.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"144"	"144"	"144"	""	"1"	"M11073012"	"Extraction"	""	""	"Assay for M11073012"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"144"	""	"Data transformation"	""	"FILES/m11073012.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"145"	"145"	"145"	""	"1"	"M11050416"	"Extraction"	""	""	"Assay for M11050416"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"145"	""	"Data transformation"	""	"FILES/m11050416.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"146"	"146"	"146"	""	"1"	"M11062507"	"Extraction"	""	""	"Assay for M11062507"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"146"	""	"Data transformation"	""	"FILES/m11062507.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
